year,conventional_TW,regenerative_capped_TW,absurd_abundance_TW,absurd_liberated_fraction
0,129.0,129.0,129.0,0.0685
25,197.21862899534253,159.2561661792971,204.61795015118088,0.081
100,704.7297583455334,233.48060400599394,1291.6583121365363,0.11850000000000001
250,8998.538129168377,279.27504689080615,396896.18233252387,0.1935
500,627703.0113340853,283.7387377803319,2107671935839.7205,0.3185
1000,3054349383.239374,283.79998912492044,4.658486094254416e+34,0.5
