class,name,score,median_RJ_250,median_final_P_TW,median_final_drain,median_worst_disruption,collapse_rate
Best entering model,v0.6 Gen100-15,98.35389101676222,65469.157108755746,2553857.376917364,2.4148439632563588e-09,0.00501693038972706,0.0
Dream team formed after all models leave,Dream-198,89.34851283270086,119542.99195370363,5326298.350653812,7.076347183754191e-10,0.00678448225431154,0.0
